<<<<<<< HEAD
2016-2017,2,eng10,Miagao,lec,2,3,"MARTE,A","AVR,T F,11.5,13.0"
2016-2017,2,cmsc124,Miagao,lec,1,3,"MONDELIZA,J","B11-CL3,M Th,9.0,10.0"
2016-2017,2,cmsc124,Miagao,lab,1,3,"DARIA JR.,A","B2-CL1,M Th,10.0,11.5"
2016-2017,2,cmsc125,Miagao,lec,2,3,"VALDEHUESA,E","B1-CL2,M Th,14.5,15.5"
2016-2017,2,cmsc125,Miagao,lab,1,3,"MONDELIZA,J","B11-CL3,T F,13.0,14.5"
2016-2017,2,cmsc129,Miagao,lec,1,3,"AMBITA,A","B1-CL2,T F,10.0,11.0"
2016-2017,2,cmsc129,Miagao,lab,3,3,"AMBITA,A","B1-CL2,T F,16.0,17.5"
2016-2017,2,cmsc132,Miagao,lec,2,3,"ARANETA,N","B11-CL3,M Th,13.0,14.5"
2016-2017,2,cmsc126,Miagao,lec,1,3,"VALDEHUESA,E","B11-CL3,T F,8.5,9.5"
2016-2017,2,cmsc126,Miagao,lab,2,3,"VALDEHUESA,E","B2-CL1,T F,14.5,16.0"
=======
2016-2017,2,pi100,Miagao,lec,5,3,"SANSAIT,J","AV 104,M Th,11.5,13.0"
2016-2017,2,cmsc198.2,Miagao,lec,2,2,"ARANETA,N","R109-CL4,T F,9.0,10.0"
2016-2017,2,cmsc170,Miagao,lec,1,3,"MUCHADA,J","B11-CL3,M Th,14.5,16.0"
2016-2017,2,cmsc197,Miagao,lec,2,3,"TEJE,E","R109-CL4,T F,10.0,11.5"
2016-2017,2,cmsc197,Miagao,lec,1,3,"DARIA JR.,A","R109-CL4,T F,14.5,16.0"
2016-2017,2,psych101,Miagao,lec,2,3,"HUYONG,A","AV 104,T F,16.0,17.5"
>>>>>>> 7eb4e3456bd211c0ff71a1e050d554919cfe55ce
